Date,Open,High,Low,Close,Adj Close,Volume
2024-08-01,247.08999633789062,248.61000061035156,238.57000732421875,241.77999877929688,241.77999877929688,1299600
2024-08-02,236.6699981689453,238.0,230.64999389648438,231.3699951171875,231.3699951171875,2812400
2024-08-05,226.6999969482422,228.25,223.02999877929688,225.72000122070312,225.72000122070312,2341100
2024-08-06,230.44000244140625,236.49000549316406,229.32000732421875,234.22999572753906,234.22999572753906,2183700
2024-08-07,236.55999755859375,240.02999877929688,232.36000061035156,232.57000732421875,232.57000732421875,875700
2024-08-08,236.1699981689453,239.39999389648438,233.42999267578125,239.2899932861328,239.2899932861328,911300
2024-08-09,238.16000366210938,242.27999877929688,237.83999633789062,240.44000244140625,240.44000244140625,876400
2024-08-12,240.1699981689453,241.75,238.00999450683594,239.57000732421875,239.57000732421875,1000100
2024-08-13,242.10000610351562,245.58999633789062,241.60000610351562,244.61000061035156,244.61000061035156,1088000
2024-08-14,244.61000061035156,246.94000244140625,243.7899932861328,246.22000122070312,246.22000122070312,790800
2024-08-15,248.17999267578125,250.5,247.22000122070312,250.2100067138672,250.2100067138672,933900
2024-08-16,248.38999938964844,249.27999877929688,246.3300018310547,248.22999572753906,248.22999572753906,1075400
2024-08-19,248.5,251.44000244140625,248.0,251.11000061035156,251.11000061035156,1050200
2024-08-20,250.77000427246094,251.88999938964844,249.77999877929688,250.1300048828125,250.1300048828125,871200
2024-08-21,250.30999755859375,252.92999267578125,250.00999450683594,252.05999755859375,252.05999755859375,1055900
2024-08-22,253.0,253.22000122070312,249.5800018310547,249.91000366210938,249.91000366210938,796900
2024-08-23,254.32000732421875,255.7899932861328,251.85000610351562,255.25999450683594,255.25999450683594,1413900
2024-08-26,256.92999267578125,258.82000732421875,255.82000732421875,256.2099914550781,256.2099914550781,979700
2024-08-27,256.0,258.489990234375,255.50999450683594,256.989990234375,256.989990234375,1059100
2024-08-28,256.010009765625,256.9800109863281,252.5800018310547,254.6199951171875,254.6199951171875,1220800
2024-08-29,257.2200012207031,261.82000732421875,256.6199951171875,258.2300109863281,258.2300109863281,2225500
2024-08-30,270.0,275.67999267578125,258.0299987792969,258.3999938964844,258.3999938964844,4054800
2024-09-03,261.7699890136719,267.8299865722656,256.8299865722656,257.8299865722656,257.8299865722656,2026700
2024-09-04,256.55999755859375,259.4200134277344,255.3699951171875,255.7899932861328,255.7899932861328,1472500
2024-09-05,257.0199890136719,257.0199890136719,249.86000061035156,251.77000427246094,251.77000427246094,2392700
2024-09-06,252.6999969482422,255.0,249.61000061035156,250.3699951171875,250.3699951171875,1487900
2024-09-09,251.6199951171875,256.04998779296875,251.5500030517578,255.6699981689453,255.6699981689453,1497300
2024-09-10,256.17999267578125,257.8500061035156,252.22999572753906,257.6099853515625,257.6099853515625,1895800
2024-09-11,255.6300048828125,259.6700134277344,251.94000244140625,258.9800109863281,258.9800109863281,2148200
2024-09-12,259.1300048828125,260.6300048828125,256.6099853515625,259.4700012207031,259.4700012207031,1216700
2024-09-13,260.5899963378906,264.54998779296875,260.0,263.9599914550781,263.9599914550781,1468600
2024-09-16,265.5,269.0,265.0,267.7300109863281,267.7300109863281,1410400
2024-09-17,268.0899963378906,270.25,266.489990234375,266.8900146484375,266.8900146484375,949800
2024-09-18,267.9700012207031,267.9700012207031,263.57000732421875,264.2099914550781,264.2099914550781,1155800
2024-09-19,270.25,272.3399963378906,267.7900085449219,269.760009765625,269.760009765625,1911500
2024-09-20,270.5799865722656,272.7200012207031,266.5,267.2900085449219,267.2900085449219,2551400
2024-09-23,269.2300109863281,269.3800048828125,266.9200134277344,268.4599914550781,268.4599914550781,2070500
2024-09-24,267.94000244140625,270.1199951171875,266.6199951171875,269.6499938964844,269.6499938964844,1189000
2024-09-25,268.95001220703125,270.739990234375,267.57000732421875,268.0,268.0,1174500
2024-09-26,271.1300048828125,273.489990234375,269.7300109863281,273.3599853515625,273.3599853515625,1108000
2024-09-27,273.3599853515625,274.5,271.0,271.8999938964844,271.8999938964844,614900
